Name,Salesforce Account ID,Infrastructure Project ID,Contract Start Date,Live,Salesforce Opportunity ID,SFDC Magento Account ID,Status
Super Happy Customer,,354287582137648,4/1/22,,239745182635432914,,Decommission Submitted
Visions Electronics Cloud Pro,001a000001YzIPIAA3,6fo2oxoxydghe,4/29/22,,0066O00000i7eWLQAY,0011C00002f8Zh6QAE,Current
"Zumiez, Inc_DR3201280 – Adobe AMS",00130000010LS2bAAG,ga3ccmrdt2h3c,4/29/22,,0066O00000nK5NqQAK,0011500001IgDqBAAV,Live
National Oilwell Varco_DR3227145_Additional Instance – Adobe AMS,0011O00002NT3x9QAD,snzpmxxl36mww,4/15/22,,0066O00000nK9Y3QAK,0011C00002jAfThQAK,Live
Hedges Direct - Cloud Pro,0011O00002KxIQXQA3,jdil3z3niocju,4/27/22,,0066O00000i7fWWQAY,0011C00002Igd6bQAB,Current
Mann + Hummel GmbH_DR3299406 – Additional Instance,0013000000oS4tGAAS,sfn6j57fpx646,4/1/22,,0066O00000nJxwdQAC,0011C00002f7hUnQAI,Current
Humano Seguros,0015Y00002yHNiXQAW,kaps7f6vrclsg,4/25/22,,0066O00000iiFLkQAM,0016O000037Iin0QAC,Current
White Rolling Pin - Cloud Pro,0015Y00003202LUQAY,sfwnx3ykzf4ya,4/11/22,,0066O00000nJfEoQAK,0016O000037Ist2QAC,Current
Kreando AG  - PRO,0011O00002KxKU1QAN,namnvbegso7di,4/12/22,,0066O00000nJfzrQAC,0011C00002LXQgSQAX,Current
Santo Domingo Motors,0015Y00002nCxXRQA0,b4najahafurca,4/4/22,,0061C00000i7X82QAE,0011C00002qHqhsQAC,Current
Capella Flavors,0015Y00002yKd7aQAC,nc5sixnhceb5i,4/30/22,,0066O00000nJepNQAS,0016O000037IrKdQAK,On Hold
Grup Gamma - Cloud Pro,0011O00002OTmmEQAT,zum664vdncyk6,4/19/22,,0061C00000ft70aQAA,0011C00002bT8J7QAK,Current
Wonder Smile Pte Ltd,0015Y00002qOUGcQAO,rzk4s5xc25y3w,4/1/22,,0066O00000mAqN6QAK,0016O000035FNA0QAO,Decommission Submitted
Agencia de Promocao de Exportacoes do Brasil APEX-Brasil_DR3065532 – Adobe Comme,0013000000owKkvAAE,kiypjjcfdswik,4/27/22,,0066O00000i7iavQAA,0011C00002f7HUAQA2,Current
PSMI (Cloud Pro with BI Pro),0011O00002UyabzQAB,rb4ip3fibd6ni,4/1/22,,0066O00000nJej7QAC,0011500001b0mIXAAY,Current
kika Möbel-Handelsgesellschaft m.b.H._DR3242144 – Adobe Commerce,0015Y00002Y1fJzQAJ,oubggotb34uvw,4/1/22,,0066O00000nJiRLQA0,0011C00002f55zWQAQ,Live
Natco Home Group,0011O00002SstqfQAB,qiyb5whofcdsy,4/1/22,10/18/23,0066O00000iiAatQAE,0011C00002oCLQbQAO,Live
Foundry,0011O0000224E0oQAE,nptq3qu7eptli,4/26/22,8/2/23,0066O00000iiD72QAE,0011C00002f7VNxQAM,Live
University of Pittsburgh,0013000000V0dM1AAJ,wcwp6s5q4ymys,4/4/22,7/4/23,0066O00000nJfcSQAS,0011C00002ErStUQAV,Live
Empresas Pinto | Cloud Pro,0015Y00002txXDbQAM,whnzb3c6plsqa,4/25/22,7/3/23,0066O00000nJbGwQAK,0016O000037IShOQAW,Live
Bio Brands Franchising Gestao de Marcas LTDA,0015Y00002yHNjaQAG,2xfiw2b4g3ivo,4/4/22,6/1/23,0066O00000iiFioQAE,0011C00002W1hNdQAJ,Live
"The Room Place - Pro wBI Pro.TRP Acquisition Inc, d/b/a The RoomPlace and Apt2B)",0013000000V0ff1AAB,5tcxlmvwmnqhs,4/4/22,5/25/23,0066O00000nJaijQAC,0011C00002f8Q8LQAU,Live
JHP Fashion-Commerce Cloud,0015Y00002yKJh9QAG,msflu6g4eat3q,4/1/22,5/16/23,0066O00000nJde7QAC,0016O000037IpVOQA0,Live
