name,project_id
"Toyota Motor North America, Inc._DR2777293 – Adobe AMS",tvdihvxtugjic
Amer Sports -Arctery'x North America - Instance #14,xpfxkhsv3lm7s
Covento A/S_DR3277540 – Adobe Commerce + AMS,hw3qc4vhpvemq
Dish Sling (SlingCommerce) DR3092053,bnam2pgpfsgpy
First Stop Europe NV_DR2803363 – Adobe AMS,633cmpjqlujqs
BMR Group_DR2385113 – Adobe AMS,zajlnev5fbtje
Royal Melbourne Institute of Technology_DR2770931 – Adobe AMS,p4upcujhjqsy6
Atrium Innovations Inc._DR3163837 – Adobe Commerce + AMS,ux2rl6xeqcu2m
PSA Automobiles S.A._DR2911185 – Adobe AMS - Omni Channel,lnxdng5xg2law
T-Mobile - GCP environment for HINT migration from AWS,nr2bz7if74pew
T-Mobile Northstar (GCP) - DR3163367,bb3vrusbjmyqg
Dish - Republic_DR3354892 – Adobe Commerce + AMS (1 of 2),tqoni5ascjhx2
United Healthcare Services Inc._DR2995509 – Adobe AMS,bhkiggvg5utuc
To be decommissioned -Coca-Cola Beverages Africa (Pty) Ltd_DR3478083 Kenya – Adobe AMS-,77mvtsgrxtekk
"Toyota Motor North America, Inc._DR3391083 – Adobe AMS Addtl Instance",qyleff4i3a7q4
Wheel Pros LLC_DR3514507 – B2B,22u4azrzj6uew
PSA Automobiles S.A. (Maserati) DR3384735 – Adobe Commerce + AMS,b3h3bbafz6naw
"Panasonic Information Systems Co., Ltd. (門真/CMJ)_DR3090415 – Adobe AMS",chtpn3pjvkckg
Krisshop Pte Ltd_DR3033562 – Adobe AMS,2povzuh7lwjj6
Helen of Troy_DR3367790 – Adobe AMS ADDTL INSTANCE PKG,wwhsilxlhzhue
LG Electronics Inc_DR3587433 - US D2D Project,yi4qausig2upk
Sealed Air Corporation_DR3553029 – Adobe Commerce Additional Instance AMS,dj7kjtfshfixs
Digital Advantage Corp._DR3760721 – Adobe Commerce AMS,vq546tecav3xs
Paramount Liquor - VisualR - DR3756205,3c6ufwa5rxeda
[Stellantis GECO] PSA Automobiles S.A. - DR3756676 (SUB-0071061),fyvamifgexnbg
"SeneGence International, Inc. - DR3620136 (SUB-0071159)",yhtn2v2qno5pk
"Darby Dental Supply, LLC - DR3744674(SUB-0071409)",6lq7u2lekdzca
Canon U.S.A. (LATAM) Inc._DR3767633 – Adobe AMS,kjiitg6uqyh4g
Aero Precision LLC - DR-00303117 (SUB-0071678),px2aktjyng4tu
"Micron Technology, Inc - DR3564797 (SUB-0071857)",hyx5gew4gsdtk
"To be decommissioned - ASUSTeK Computer, Inc. / 華碩電腦股份有限公司 - DR3781545 (SUB-0071965)",otsju3xdpvunk
Reprovisioning - ASUSTeK MCC3 JP - DR3781545 (SUB-0071965),juf75wj6fhjmg
Bajaj Finserv Direct Limited - DR3673474 (SUB-0072358),dbbagraajxpgk
Bajaj Finserv Direct Limited (Additional Instance) - DR3673474 (SUB-0072359),xwlrbuawwpwpk
Stellantis Auto SAS_SOL IAP - DR3852817 (SUB-0072423),cn5hsj4co3c7c
Stellantis Auto SAS_LEASYS - DR3852817 (SUB-0072421),km45xe5kdvgpm
"Duplicate & To be Decommissioned - ASUSTeK Computer, Inc. / 華碩電腦股份有限公司 - DR3781545 (SUB-0072616)",otsju3xdpvunk
Dish Sling (SlingCommerce) DR3092053 - 2 ( 2nd environment Dish sling 1/31/24,jbd76la6tag4y
Bekeart BV Additional Commerce MS Instance - DR3413325,3m6hqj2n7htti
Radwell International LLC - DR-00157877 (SUB-0073629),dgmyvd6hbefas
Hanesbrands Inc - APAC Japan - DR3942449 (SUB-0073773),wxqjrfuro5v7a
Hanesbrands EMEA Inc - DR3942449 (EMEA Instance),f5vjthaf7orgk
Stellantis Auto SAS - DR3921855 (SUB-0073835) - Mister Auto,mqh6ub6c7dxpq
Stellantis Auto SAS - DR3572969 (SUB-0073967) - Leap,uftjecx7ywdoq
"Zumiez, Inc_DR3201280 – Adobe AMS",ga3ccmrdt2h3c
National Oilwell Varco_DR3227145_Additional Instance – Adobe AMS,snzpmxxl36mww
QSR Stores Sdn Bhd_DR3202981 – Adobe Commerce AMS - DR3513996 uplift,xeorqdet66jxg
Struc-Tube Ltée_DR3213480 – Adobe AMS,ymc24rxws3ysu
Dish Commerce (OnTech) DR2830540,e2szzkipexnqo
Alshaya - Debenhams - New Environment to provision,gqhhjajenogck
Lexisnexis_DR2926585 – Adobe AMS,nqjqeko53af54
N.V. Bekaert S.A._DR2884024 – Adobe AMS,7rzczvtuo7lpo
Liquor Control Board of Ontario (LCBO)_DR2655692 – Adobe AMS,glir3zqkgsrxk
JD Irving Limited_DR2741111  – Adobe AMS,22hasjhpw36xe
Alshaya - COS,vlvasu2xupli4
